,brand,1.0,2.0,3.0,4.0,5.0,sentiment_pos,sentiment_neg,sentiment_neu,ratings,loyal,disloyal,neutral,highest_income,lowest_income,race_demo
1192,Malta India,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1193,Maltesers,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1194,Mandarina Duck,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.3,33.331,33.338,33.33,,,83.21
1195,Mandy Pritty,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1196,Manfrotto,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
1197,Manhattan Special,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1198,Mantecol,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1199,Manwich,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1200,Maola,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1201,Market Pantry,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.6,33.331,33.338,33.33,,,83.21
1202,Mars bar,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1203,Maruchan Yakisoba,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.3,33.331,33.338,33.33,,,83.21
1204,MaryKay Parce,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1205,Masters of the Piano Roll,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,1.0,33.331,33.338,33.33,,,83.21
1206,Matchmakers,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.0,33.331,33.338,33.33,,,83.21
1207,Materva,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1208,"Matsuzaki Senbei, est. 1804",4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1209,Matthew Walker Christmas Puddings,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1210,Maverik Lacrosse,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.2,33.331,33.338,33.33,,,83.21
1211,MaxData,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1212,Maynards Wine Gum,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1213,Maypo,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1214,Mcquades Celtic Chutneys,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1215,Mecc Alte,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.0,33.331,33.338,33.33,,,83.21
1216,Media Gratiae;John Snyder,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1217,MegaWatt,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1218,Mele Kalikimaka Cards,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1219,Melon Bicycles,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.2,33.331,33.338,33.33,,,83.21
1220,Menarini,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1221,Menchie's Frozen Yogurt,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1222,Menthol,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.7,33.331,33.338,33.33,,,83.21
1223,Mercedes AMG Petronas,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.7,33.331,33.338,33.33,,,83.21
1224,Mervyn's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1225,Michael Solton,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,2.7,33.331,33.338,33.33,,,83.21
1226,Mie Sedaap,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1227,Milk Duds,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1228,Milky bar,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.2,33.331,33.338,33.33,,,83.21
1229,Milkybar,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1230,Millars Meiss,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1231,Miller Fortune,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1232,Miller Lite,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.9,33.331,33.338,33.33,,,83.21
1233,Mini Cinnamon Churros,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1234,Mini Original Goldenberg's Peanut Chews,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1235,Minse,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1236,Minu Vyrus,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1237,Minute Rice,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.1,33.331,33.338,33.33,,,83.21
1238,Miracle Whip,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.3,33.331,33.338,33.33,,,83.21
1239,Mirinda,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1240,Miss Vickie's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.2,33.331,33.338,33.33,,,83.21
1241,Mission Inhaler,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1242,Molson Canadian,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.3,33.331,33.338,33.33,,,83.21
1243,Mondelez International,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1244,Monster Cereals,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.8,33.331,33.338,33.33,,,83.21
1245,Monster Munch,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1246,Moore & Moore,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1247,Moosejaw,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.9,33.331,33.338,33.33,,,83.21
1248,Moser Baer,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1249,Moshe Zwang,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1250,Motion Fun Light,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,2.0,33.331,33.338,33.33,,,83.21
1251,Moto Guzzi,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1252,Motorola Mobility,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1253,Mountain Blend,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.9,33.331,33.338,33.33,,,83.21
1254,Mountain Dew Live Wire,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1255,Mountain Hardwear,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.3,33.331,33.338,33.33,,,83.21
1256,Mountain Warehouse,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1257,Movo,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1258,Mr Potato Head,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
1259,Mr. Goodbar,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.3,33.331,33.338,33.33,,,83.21
1260,Mrs. Butterworth's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
1261,Mrs. Freshley's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1262,"Mrs. Miller's Loganberry Jam, 8 oz",4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.3,33.331,33.338,33.33,,,83.21
1263,Mrs. Paul's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1264,Muffets,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1265,Mumbo Sauce,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.2,33.331,33.338,33.33,,,83.21
1266,Munchos,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1267,Music Hall - Made in Slovakia,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1268,Myers's Rum,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,2.0,33.331,33.338,33.33,,,83.21
1269,"NIAGARA BOTTLING, LLC.",4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1270,NIK NAKS,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,2.7,33.331,33.338,33.33,,,83.21
1271,NOCTURNO CULTO,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.4,33.331,33.338,33.33,,,83.21
1272,NSU,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1273,Nagaraya,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1274,Nantucket Nectars,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1275,Nashville-Gallatin interurban railway,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,1.5,33.331,33.338,33.33,,,83.21
1276,Nasir Ahmed,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1277,National Petroleum Council,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1278,Natural Soy Products,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1279,Nature Valley Soft-Baked Oatmeal Squares Peanut Butter,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.9,33.331,33.338,33.33,,,83.21
1280,Nature's Own,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.8,33.331,33.338,33.33,,,83.21
1281,Nature's Twist,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,2.4,33.331,33.338,33.33,,,83.21
1282,Natuzzi Editions,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1283,Neil Pryde,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.9,33.331,33.338,33.33,,,83.21
1284,Nesbitt's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1285,Nesquik,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1286,Nestle Big Turk Bites,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1287,New Belgium Brewing Company,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.3,33.331,33.338,33.33,,,83.21
1288,New Glarus Brewing Company,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
1289,New Newman's Own Roasted Garlic Alfredo Sauce 15 O,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1290,New York Flatbreads,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1291,New!! Bicycle Parking Storage Rack 1-6 Bikes Steel Park Stand Black,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1292,Newark Paperboard,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1293,Nigerian Ground Ogbono,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,1.0,33.331,33.338,33.33,,,83.21
1294,Nikki Beach Miami,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1295,Nina Ricci,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1296,Ninho,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.9,33.331,33.338,33.33,,,83.21
1297,Nissin Cup Noodles Chicken Flavor Ramen Noodle Soup,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.0,33.331,33.338,33.33,,,83.21
1298,No Limit Greatest Hits 1 / Various (Circuit City),4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1299,Nokian,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
1300,Norrona,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.7,33.331,33.338,33.33,,,83.21
1301,Nostromo,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1302,Notion Ink,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,1.6,33.331,33.338,33.33,,,83.21
1303,Nutren,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.7,33.331,33.338,33.33,,,83.21
1304,Nutri-Grain,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1305,Nutter Butter,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1306,O'Neills,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.8,33.331,33.338,33.33,,,83.21
1307,OKS,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,2.5,33.331,33.338,33.33,,,83.21
1308,OQO,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,2.0,33.331,33.338,33.33,,,83.21
1309,Oatmeal Crisp,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1310,Odwalla,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
1311,Oktava,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.8,33.331,33.338,33.33,,,83.21
1312,Old Colony,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1313,Old Crow Medicine Show,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1314,Old Dutch Foods,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.2,33.331,33.338,33.33,,,83.21
1315,Old Thompson,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.1,33.331,33.338,33.33,,,83.21
1316,Olive Garden Signature Italian Dressing,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1317,Omaha Steaks,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1318,Opavia,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.9,33.331,33.338,33.33,,,83.21
1319,Orange Whip,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1320,Orangina,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1321,Orchard Fresh Gift Baskets,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.3,33.331,33.338,33.33,,,83.21
1322,Orchestra e Coro del Teatro di San Carlo,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.4,33.331,33.338,33.33,,,83.21
1323,Ore-Ida,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
1324,Oreos,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1325,Original English Cadbury 1 Brunch Bar Choc Chip - 6 Bars,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1326,Orka,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1327,Oro Negro,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1328,Osem,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1329,Otter Pops,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.9,33.331,33.338,33.33,,,83.21
1330,Outdoor Research,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1331,Outshine,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.3,33.331,33.338,33.33,,,83.21
1332,Oven Baked,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1333,Ozarka,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1334,P.F. Chang's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.2,33.331,33.338,33.33,,,83.21
1335,POP CORN HOLDER,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,1.0,33.331,33.338,33.33,,,83.21
1336,POWERADE ZERO DROPS,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1337,PT Agel - Indonesian brand,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1338,Paddle Ball,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.0,33.331,33.338,33.33,,,83.21
1339,Paglieri,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1340,Pakistani Bible Society,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1341,Pakola,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.5,33.331,33.338,33.33,,,83.21
1342,Paladini Louis Dressing,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1343,Palm zire M150,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.7,33.331,33.338,33.33,,,83.21
1344,Panavision,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1345,Pantofola d'Oro,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1346,Paolo Perlini,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1347,Paper Boat,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1348,Paper Money,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1349,Pappy Van Winkle,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1350,Park Hyatt Box,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.3,33.331,33.338,33.33,,,83.21
1351,Passatempo Nestle - Chocolate Sandwich Biscuit,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1352,Pastiglie Leone,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1353,Pat Rahmann,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1354,PayDay,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
1355,Peace Iced Tea,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.9,33.331,33.338,33.33,,,83.21
1356,Peace Tea,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.2,33.331,33.338,33.33,,,83.21
1357,Peanut Butter Toast Crunch,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1358,Pecan Pie Pringles,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,1.0,33.331,33.338,33.33,,,83.21
1359,Peek Freans,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.8,33.331,33.338,33.33,,,83.21
1360,Pemmican,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.8,33.331,33.338,33.33,,,83.21
1361,PenAgain,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.2,33.331,33.338,33.33,,,83.21
1362,Penny Candy,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1363,Perdue Farms,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1364,Perfumer's Workshop,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1365,Perugina Baci,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1366,Peter Brabeck-Letmathe,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1367,Peter Harboe-Schmidt,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1368,Peugeot,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1369,Pfanni,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1370,Philadelphia Cream Cheese,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1371,Pibb Xtra,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1372,Pico De Gallo's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.3,33.331,33.338,33.33,,,83.21
1373,Pilsner Urquell,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1374,Pindjur,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.7,33.331,33.338,33.33,,,83.21
1375,Pindy Wong and Hoenie Luk,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1376,Pinkberry,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1377,Piquadro,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1378,Pirate's Booty,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1379,Pirma,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1380,Platinum Tweeter Toys,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,3.8,33.331,33.338,33.33,,,83.21
1381,Playsuit / Romper,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1382,Pocari Sweat,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.8,33.331,33.338,33.33,,,83.21
1383,Polar Beverages,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.9,33.331,33.338,33.33,,,83.21
1384,Polar Ice,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1385,Polygon Bikes,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.1,33.331,33.338,33.33,,,83.21
1386,Pom-Bear,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1387,Pond's,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1388,Pony Malta,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1389,Pop Rocks Fruit Punch Popping Candy,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1390,Pop-Tarts,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1391,Popcorn Maker,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1392,"Popcorn, Indiana",4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.4,33.331,33.338,33.33,,,83.21
1393,Pope Manufacturing Company,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1394,"Pork and Vegetable Egg Roll, 3 oz., 36 per case",4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,5.0,33.331,33.338,33.33,,,83.21
1395,Post Foods,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,1.0,33.331,33.338,33.33,,,83.21
1396,Post Marshmallow Fruity Pebbles Cereal ( 2 pack ),4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1397,Post Waffle Crisp,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.0,33.331,33.338,33.33,,,83.21
1398,Pot Noodle,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.6,33.331,33.338,33.33,,,83.21
1399,Power Horse,4.333,2.323,5.228,11.035,77.143,33.329,33.337,33.334,4.5,33.331,33.338,33.33,,,83.21
