,brand,age,sentiment_pos,sentiment_neg,sentiment_neu
4684,Cra-Z-Art,35 to 44 years,33.2763,33.0307,33.693
4676,Crayola,65 to 74 years,33.6535,32.6053,33.7412
4675,Crayola,60 to 64 years,33.2368,33.5702,33.193
4674,Crayola,55 to 59 years,33.3816,33.2632,33.3553
4673,Crayola,5 to 9 years,32.9825,33.9518,33.0658
4672,Crayola,45 to 54 years,33.3684,33.2456,33.386
4670,Crayola,25 to 34 years,33.4211,33.4649,33.114
4669,Crayola,20 to 24 years,33.8991,32.9123,33.1886
4668,Crayola,15 to 19 years,33.2412,33.6886,33.0702
4667,Crayola,10 to 14 years,33.3553,33.1404,33.5044
4679,Crayola,Under 5 years,33.7632,33.8991,32.3377
4671,Crayola,35 to 44 years,33.057,33.1316,33.8114
4677,Crayola,75 to 84 years,33.6404,33.5395,32.8202
4678,Crayola,85 years and over,33.4912,33.0833,33.4254
1557,Cream O Land,75 to 84 years,33.7149,32.5482,33.7368
1558,Cream O Land,85 years and over,33.886,32.9035,33.2105
1547,Cream O Land,10 to 14 years,33.1623,33.307,33.5307
1548,Cream O Land,15 to 19 years,33.4956,33.2237,33.2807
1549,Cream O Land,20 to 24 years,33.1316,33.3991,33.4693
1550,Cream O Land,25 to 34 years,32.8991,33.3772,33.7237
1551,Cream O Land,35 to 44 years,33.1009,33.7763,33.1228
1552,Cream O Land,45 to 54 years,33.2851,33.1009,33.614
1553,Cream O Land,5 to 9 years,33.4254,33.3991,33.1754
1554,Cream O Land,55 to 59 years,32.7588,33.6974,33.5439
1555,Cream O Land,60 to 64 years,33.4825,33.1667,33.3509
1559,Cream O Land,Under 5 years,33.307,33.114,33.5789
1556,Cream O Land,65 to 74 years,33.3684,32.8421,33.7895
3823,Creme of Nature,15 to 19 years,33.193,33.3465,33.4605
3825,Creme of Nature,25 to 34 years,33.7018,32.9868,33.3114
3833,Creme of Nature,85 years and over,33.5526,33.0614,33.386
3832,Creme of Nature,75 to 84 years,33.693,33.2412,33.0658
3831,Creme of Nature,65 to 74 years,33.6623,33.3246,33.0132
3824,Creme of Nature,20 to 24 years,33.2588,32.8553,33.886
3830,Creme of Nature,60 to 64 years,33.7456,33.3904,32.864
3829,Creme of Nature,55 to 59 years,34.1184,33.2149,32.6667
3828,Creme of Nature,5 to 9 years,33.6842,33.0965,33.2193
3827,Creme of Nature,45 to 54 years,33.6886,33.6184,32.693
3826,Creme of Nature,35 to 44 years,33.2588,33.1096,33.6316
3834,Creme of Nature,Under 5 years,33.4737,33.0921,33.4342
3822,Creme of Nature,10 to 14 years,33.7675,33.7544,32.4781
2315,Crisco (Canola Oil),15 to 19 years,33.4561,33.1754,33.3684
2325,Crisco (Canola Oil),85 years and over,33.1886,33.636,33.1754
2326,Crisco (Canola Oil),Under 5 years,33.1667,32.8202,34.0132
2316,Crisco (Canola Oil),20 to 24 years,33.6447,32.9298,33.4254
2317,Crisco (Canola Oil),25 to 34 years,33.3553,33.6272,33.0175
2318,Crisco (Canola Oil),35 to 44 years,33.7325,33.1754,33.0921
2319,Crisco (Canola Oil),45 to 54 years,33.5746,33.4649,32.9605
2320,Crisco (Canola Oil),5 to 9 years,33.2281,33.8202,32.9518
2321,Crisco (Canola Oil),55 to 59 years,32.7105,34.1842,33.1053
2322,Crisco (Canola Oil),60 to 64 years,33.3202,33.307,33.3728
2323,Crisco (Canola Oil),65 to 74 years,33.6096,33.1404,33.25
2324,Crisco (Canola Oil),75 to 84 years,33.1184,33.1009,33.7807
2314,Crisco (Canola Oil),10 to 14 years,33.6974,32.4781,33.8246
558,Crush Orange,Under 5 years,33.1886,33.5965,33.2149
548,Crush Orange,20 to 24 years,33.4561,33.5746,32.9693
549,Crush Orange,25 to 34 years,33.4167,33.4781,33.1053
550,Crush Orange,35 to 44 years,33.386,32.9868,33.6272
551,Crush Orange,45 to 54 years,33.2895,33.0132,33.6974
553,Crush Orange,55 to 59 years,33.2895,33.1667,33.5439
554,Crush Orange,60 to 64 years,33.2544,33.6491,33.0965
555,Crush Orange,65 to 74 years,32.9254,33.4912,33.5833
556,Crush Orange,75 to 84 years,33.4254,33.557,33.0175
557,Crush Orange,85 years and over,33.1447,33.9561,32.8991
547,Crush Orange,15 to 19 years,33.307,33.0175,33.6754
546,Crush Orange,10 to 14 years,33.9825,33.5965,32.4211
552,Crush Orange,5 to 9 years,33.5614,33.3991,33.0395
5360,Crystal Light,35 to 44 years,33.8904,33.3728,32.7368
5358,Crystal Light,20 to 24 years,33.5746,32.9035,33.5219
5359,Crystal Light,25 to 34 years,33.3509,33.2588,33.3904
5361,Crystal Light,45 to 54 years,33.1579,33.2105,33.6316
5362,Crystal Light,5 to 9 years,33.3026,32.9298,33.7675
5363,Crystal Light,55 to 59 years,33.5132,33.3509,33.136
5364,Crystal Light,60 to 64 years,33.6711,33.4825,32.8465
5365,Crystal Light,65 to 74 years,33.4035,33.1798,33.4167
5366,Crystal Light,75 to 84 years,33.8421,33.5307,32.6272
5357,Crystal Light,15 to 19 years,33.3553,33.1667,33.4781
5367,Crystal Light,85 years and over,33.2281,33.2281,33.5439
5368,Crystal Light,Under 5 years,33.6272,33.1184,33.2544
5356,Crystal Light,10 to 14 years,33.6447,33.1711,33.1842
4432,DYMO,Under 5 years,33.3596,33.7851,32.8553
4431,DYMO,85 years and over,32.7763,33.4781,33.7456
4430,DYMO,75 to 84 years,33.0044,33.3947,33.6009
4429,DYMO,65 to 74 years,33.8333,32.9912,33.1754
4428,DYMO,60 to 64 years,33.1842,33.4737,33.3421
4427,DYMO,55 to 59 years,33.5351,33.4781,32.9868
4426,DYMO,5 to 9 years,33.2588,33.8816,32.8596
4420,DYMO,10 to 14 years,33.4781,33.3202,33.2018
4425,DYMO,45 to 54 years,33.8289,33.7105,32.4605
4424,DYMO,35 to 44 years,33.7368,33.1009,33.1623
4421,DYMO,15 to 19 years,33.4386,33.3991,33.1623
4423,DYMO,25 to 34 years,33.1184,33.864,33.0175
4422,DYMO,20 to 24 years,33.5088,33.0088,33.4825
3276,Dairy Queen,10 to 14 years,33.2982,33.2412,33.4605
3277,Dairy Queen,15 to 19 years,33.2895,33.6798,33.0307
3278,Dairy Queen,20 to 24 years,33.5658,33.3246,33.1096
3279,Dairy Queen,25 to 34 years,33.5614,33.0263,33.4123
3280,Dairy Queen,35 to 44 years,33.0789,33.8421,33.0789
3281,Dairy Queen,45 to 54 years,33.2895,33.6184,33.0921
3282,Dairy Queen,5 to 9 years,33.2281,33.3026,33.4693
3285,Dairy Queen,65 to 74 years,33.3509,33.6535,32.9956
3287,Dairy Queen,85 years and over,33.7588,33.2105,33.0307
3284,Dairy Queen,60 to 64 years,33.2588,33.386,33.3553
3288,Dairy Queen,Under 5 years,34.0175,32.7368,33.2456
3283,Dairy Queen,55 to 59 years,32.8026,33.0921,34.1053
3286,Dairy Queen,75 to 84 years,32.7939,34.0526,33.1535
415,Dairygold,Under 5 years,33.6623,32.5439,33.7939
414,Dairygold,85 years and over,33.3158,33.5789,33.1053
413,Dairygold,75 to 84 years,32.6228,33.5658,33.8114
412,Dairygold,65 to 74 years,33.8553,33.307,32.8377
411,Dairygold,60 to 64 years,33.1272,33.5175,33.3553
410,Dairygold,55 to 59 years,33.3158,33.6491,33.0351
403,Dairygold,10 to 14 years,33.057,32.9123,34.0307
408,Dairygold,45 to 54 years,33.2807,33.1754,33.5439
407,Dairygold,35 to 44 years,33.0965,33.0877,33.8158
406,Dairygold,25 to 34 years,33.7851,33.1667,33.0482
405,Dairygold,20 to 24 years,33.3289,33.3465,33.3246
404,Dairygold,15 to 19 years,33.3158,33.3947,33.2895
409,Dairygold,5 to 9 years,33.0175,33.693,33.2895
1821,Daisy Brand,15 to 19 years,33.5439,33.1974,33.2588
1824,Daisy Brand,35 to 44 years,33.364,33.3509,33.2851
1825,Daisy Brand,45 to 54 years,33.193,33.2281,33.5789
1826,Daisy Brand,5 to 9 years,32.5965,33.5088,33.8947
1827,Daisy Brand,55 to 59 years,33.8947,33.614,32.4912
1828,Daisy Brand,60 to 64 years,33.136,33.1711,33.693
1822,Daisy Brand,20 to 24 years,33.364,34.0132,32.6228
1829,Daisy Brand,65 to 74 years,33.2018,33.3026,33.4956
1830,Daisy Brand,75 to 84 years,33.4912,33.0877,33.4211
1831,Daisy Brand,85 years and over,34.1096,33.1053,32.7851
1832,Daisy Brand,Under 5 years,33.0219,33.6842,33.2939
1820,Daisy Brand,10 to 14 years,33.4342,33.6711,32.8947
1823,Daisy Brand,25 to 34 years,33.0088,33.8246,33.1667
1608,Dannon,65 to 74 years,33.5921,33.2982,33.1096
1607,Dannon,60 to 64 years,33.5702,33.2149,33.2149
1606,Dannon,55 to 59 years,33.4737,33.3991,33.1272
1605,Dannon,5 to 9 years,33.3772,32.9649,33.6579
1603,Dannon,35 to 44 years,33.0,33.3772,33.6228
1602,Dannon,25 to 34 years,33.0877,33.2588,33.6535
1601,Dannon,20 to 24 years,33.9825,32.6009,33.4167
1600,Dannon,15 to 19 years,33.2368,33.1272,33.636
1599,Dannon,10 to 14 years,32.9474,33.5088,33.5439
1609,Dannon,75 to 84 years,33.4298,33.5789,32.9912
1604,Dannon,45 to 54 years,34.0088,33.2939,32.6974
1611,Dannon,Under 5 years,32.7807,33.2018,34.0175
1610,Dannon,85 years and over,33.2149,33.4781,33.307
2442,David Sunflower Seeds,85 years and over,34.0482,32.9474,33.0044
2441,David Sunflower Seeds,75 to 84 years,32.9254,33.5658,33.5088
2440,David Sunflower Seeds,65 to 74 years,33.7544,33.2807,32.9649
2439,David Sunflower Seeds,60 to 64 years,32.7895,33.3289,33.8816
2438,David Sunflower Seeds,55 to 59 years,33.3904,33.443,33.1667
2437,David Sunflower Seeds,5 to 9 years,32.9561,33.1623,33.8816
2436,David Sunflower Seeds,45 to 54 years,33.2588,33.8816,32.8596
2435,David Sunflower Seeds,35 to 44 years,33.9342,32.9693,33.0965
2434,David Sunflower Seeds,25 to 34 years,33.7281,32.7675,33.5044
2433,David Sunflower Seeds,20 to 24 years,33.2456,33.3816,33.3728
2432,David Sunflower Seeds,15 to 19 years,33.2237,33.364,33.4123
2443,David Sunflower Seeds,Under 5 years,33.5263,33.0921,33.3816
2431,David Sunflower Seeds,10 to 14 years,33.4868,33.3202,33.193
2658,Dawn,5 to 9 years,33.557,33.4254,33.0175
2656,Dawn,35 to 44 years,33.7807,33.0746,33.1447
2657,Dawn,45 to 54 years,33.5439,33.0965,33.3596
2653,Dawn,15 to 19 years,33.7105,33.3465,32.943
2659,Dawn,55 to 59 years,33.364,33.2018,33.4342
2660,Dawn,60 to 64 years,33.3684,33.4035,33.2281
2661,Dawn,65 to 74 years,33.1974,33.5088,33.2939
2662,Dawn,75 to 84 years,33.2632,33.25,33.4868
2663,Dawn,85 years and over,33.5746,32.5395,33.886
2664,Dawn,Under 5 years,33.4342,32.8289,33.7368
2652,Dawn,10 to 14 years,33.5921,33.3991,33.0088
2654,Dawn,20 to 24 years,33.5658,33.057,33.3772
2655,Dawn,25 to 34 years,33.3947,32.9781,33.6272
5717,Deja Blue,75 to 84 years,33.2895,33.3114,33.3991
5716,Deja Blue,65 to 74 years,33.4561,32.9518,33.5921
5715,Deja Blue,60 to 64 years,33.2193,32.9167,33.864
5714,Deja Blue,55 to 59 years,33.3728,33.3684,33.2588
5713,Deja Blue,5 to 9 years,33.0088,33.2763,33.7149
5712,Deja Blue,45 to 54 years,33.4342,33.6272,32.9386
5711,Deja Blue,35 to 44 years,32.9035,33.25,33.8465
5710,Deja Blue,25 to 34 years,33.0395,33.8246,33.136
5709,Deja Blue,20 to 24 years,33.5789,32.9474,33.4737
5708,Deja Blue,15 to 19 years,33.0175,33.7061,33.2763
5718,Deja Blue,85 years and over,33.1272,33.5746,33.2982
5707,Deja Blue,10 to 14 years,33.0658,33.4123,33.5219
5719,Deja Blue,Under 5 years,33.2544,33.6228,33.1228
1521,Del Monte,10 to 14 years,33.1842,33.5789,33.2368
1522,Del Monte,15 to 19 years,32.9649,33.1667,33.8684
1523,Del Monte,20 to 24 years,33.307,33.3991,33.2939
1524,Del Monte,25 to 34 years,33.8026,33.1404,33.057
1525,Del Monte,35 to 44 years,33.7061,32.7105,33.5833
1526,Del Monte,45 to 54 years,33.4474,32.9518,33.6009
1527,Del Monte,5 to 9 years,33.8114,33.6447,32.5439
1528,Del Monte,55 to 59 years,33.443,33.0789,33.4781
1529,Del Monte,60 to 64 years,32.8816,33.7939,33.3246
1530,Del Monte,65 to 74 years,33.1009,33.5439,33.3553
1531,Del Monte,75 to 84 years,32.1404,34.0307,33.8289
1533,Del Monte,Under 5 years,32.943,32.8465,34.2105
1532,Del Monte,85 years and over,33.7193,33.3509,32.9298
4549,Dell,Under 5 years,32.7939,34.1579,33.0482
4548,Dell,85 years and over,33.1096,33.2632,33.6272
4537,Dell,10 to 14 years,33.2588,33.5132,33.2281
4538,Dell,15 to 19 years,33.3947,34.0132,32.5921
4539,Dell,20 to 24 years,33.5965,33.443,32.9605
4540,Dell,25 to 34 years,33.0,33.6272,33.3728
4542,Dell,45 to 54 years,33.2632,33.5614,33.1754
4541,Dell,35 to 44 years,33.2763,33.4167,33.307
4544,Dell,55 to 59 years,33.4298,32.9123,33.6579
4545,Dell,60 to 64 years,33.6184,33.4474,32.9342
4546,Dell,65 to 74 years,33.5482,33.4211,33.0307
4547,Dell,75 to 84 years,33.5132,33.6711,32.8158
4543,Dell,5 to 9 years,33.3246,33.2588,33.4167
2944,Desitin,5 to 9 years,33.7325,33.3377,32.9298
2950,Desitin,Under 5 years,34.0263,32.7763,33.1974
2948,Desitin,75 to 84 years,33.4474,33.0614,33.4912
2946,Desitin,60 to 64 years,32.9605,33.4079,33.6316
2945,Desitin,55 to 59 years,33.3772,33.7061,32.9167
2943,Desitin,45 to 54 years,33.3421,33.1404,33.5175
2947,Desitin,65 to 74 years,33.6228,32.7851,33.5921
2941,Desitin,25 to 34 years,33.0482,33.2763,33.6754
2949,Desitin,85 years and over,33.3728,33.4298,33.1974
2938,Desitin,10 to 14 years,33.3289,33.636,33.0351
2942,Desitin,35 to 44 years,32.864,33.864,33.2719
2940,Desitin,20 to 24 years,33.2105,33.3772,33.4123
2939,Desitin,15 to 19 years,32.9649,33.2368,33.7982
363,DiGiorno Pizza,Under 5 years,33.0307,33.5044,33.4649
362,DiGiorno Pizza,85 years and over,33.1447,33.3772,33.4781
361,DiGiorno Pizza,75 to 84 years,33.3596,33.0833,33.557
360,DiGiorno Pizza,65 to 74 years,33.9254,32.8026,33.2719
359,DiGiorno Pizza,60 to 64 years,33.6842,32.4079,33.9079
357,DiGiorno Pizza,5 to 9 years,33.5702,33.1316,33.2982
356,DiGiorno Pizza,45 to 54 years,33.3289,33.4649,33.2061
355,DiGiorno Pizza,35 to 44 years,33.1754,33.5,33.3246
354,DiGiorno Pizza,25 to 34 years,33.2105,33.4605,33.3289
353,DiGiorno Pizza,20 to 24 years,33.0702,33.2632,33.6667
352,DiGiorno Pizza,15 to 19 years,32.9079,33.6535,33.4386
351,DiGiorno Pizza,10 to 14 years,33.3904,33.443,33.1667
358,DiGiorno Pizza,55 to 59 years,32.6754,33.7149,33.6096
989,Dial,15 to 19 years,33.1886,33.4693,33.3421
988,Dial,10 to 14 years,32.9474,33.4693,33.5833
994,Dial,5 to 9 years,33.4254,33.307,33.2675
993,Dial,45 to 54 years,33.4868,33.1491,33.364
992,Dial,35 to 44 years,33.2061,33.6798,33.114
991,Dial,25 to 34 years,33.6272,33.6623,32.7105
990,Dial,20 to 24 years,33.1886,33.7982,33.0132
997,Dial,65 to 74 years,33.7325,33.693,32.5746
998,Dial,75 to 84 years,33.6096,33.2412,33.1491
995,Dial,55 to 59 years,33.2325,33.0482,33.7193
999,Dial,85 years and over,32.7939,33.8114,33.3947
996,Dial,60 to 64 years,33.1272,33.5789,33.2939
1000,Dial,Under 5 years,33.2018,33.5789,33.2193
5703,Diet Rite,65 to 74 years,33.9167,33.0614,33.0219
5702,Diet Rite,60 to 64 years,34.0175,33.0307,32.9518
5701,Diet Rite,55 to 59 years,33.614,32.9518,33.4342
5705,Diet Rite,85 years and over,33.0877,33.4298,33.4825
5706,Diet Rite,Under 5 years,33.5526,33.5526,32.8947
5694,Diet Rite,10 to 14 years,33.5702,32.7763,33.6535
5695,Diet Rite,15 to 19 years,32.693,34.0482,33.2588
5696,Diet Rite,20 to 24 years,33.0746,33.5877,33.3377
5697,Diet Rite,25 to 34 years,33.1316,33.4035,33.4649
5698,Diet Rite,35 to 44 years,34.0482,32.5833,33.3684
5704,Diet Rite,75 to 84 years,33.4035,33.5746,33.0219
5700,Diet Rite,5 to 9 years,33.5132,33.4342,33.0526
5699,Diet Rite,45 to 54 years,33.0877,33.307,33.6053
4261,Dixon-Ticonderoga,75 to 84 years,33.2325,33.1798,33.5877
4260,Dixon-Ticonderoga,65 to 74 years,33.5219,33.3289,33.1491
4262,Dixon-Ticonderoga,85 years and over,33.6667,33.0702,33.2632
4251,Dixon-Ticonderoga,10 to 14 years,32.943,33.5482,33.5088
4252,Dixon-Ticonderoga,15 to 19 years,33.3684,33.8465,32.7851
4263,Dixon-Ticonderoga,Under 5 years,33.7193,33.1711,33.1096
4254,Dixon-Ticonderoga,25 to 34 years,33.5482,33.1053,33.3465
4255,Dixon-Ticonderoga,35 to 44 years,33.3158,33.6228,33.0614
4256,Dixon-Ticonderoga,45 to 54 years,33.3816,34.0088,32.6096
4257,Dixon-Ticonderoga,5 to 9 years,33.1228,33.3289,33.5482
4258,Dixon-Ticonderoga,55 to 59 years,33.2412,33.6272,33.1316
4253,Dixon-Ticonderoga,20 to 24 years,33.1886,33.1491,33.6623
4259,Dixon-Ticonderoga,60 to 64 years,33.4386,33.0395,33.5219
1098,Domex,5 to 9 years,34.1316,33.0658,32.8026
1097,Domex,45 to 54 years,33.8421,33.1491,33.0088
1096,Domex,35 to 44 years,32.7851,33.4254,33.7895
1095,Domex,25 to 34 years,32.8333,33.4649,33.7018
1094,Domex,20 to 24 years,32.943,33.386,33.6711
1093,Domex,15 to 19 years,33.307,33.5088,33.1842
1092,Domex,10 to 14 years,33.8333,33.0526,33.114
1104,Domex,Under 5 years,33.5219,33.2544,33.2237
1100,Domex,60 to 64 years,32.8026,33.6272,33.5702
1101,Domex,65 to 74 years,33.3509,33.1579,33.4912
1102,Domex,75 to 84 years,33.2675,33.2719,33.4605
1103,Domex,85 years and over,33.3246,33.3421,33.3333
1099,Domex,55 to 59 years,33.8684,33.5132,32.6184
3222,Dominos,85 years and over,32.9781,33.4079,33.614
3219,Dominos,60 to 64 years,33.0351,33.4649,33.5
3218,Dominos,55 to 59 years,33.4737,33.3465,33.1798
3217,Dominos,5 to 9 years,33.0702,33.4211,33.5088
3216,Dominos,45 to 54 years,33.9561,33.0789,32.9649
3214,Dominos,25 to 34 years,33.5,33.6184,32.8816
3213,Dominos,20 to 24 years,33.3421,33.807,32.8509
3212,Dominos,15 to 19 years,32.8202,33.636,33.5439
3223,Dominos,Under 5 years,33.8553,32.6404,33.5044
3221,Dominos,75 to 84 years,33.2588,32.9649,33.7763
3215,Dominos,35 to 44 years,33.4868,32.9474,33.5658
3220,Dominos,65 to 74 years,33.1842,33.1316,33.6842
3211,Dominos,10 to 14 years,33.4123,33.3684,33.2193
3274,Doritos,85 years and over,33.6228,33.2544,33.1228
3263,Doritos,10 to 14 years,32.9035,33.3026,33.7939
3264,Doritos,15 to 19 years,33.6491,32.9956,33.3553
3265,Doritos,20 to 24 years,33.2588,33.1886,33.5526
3266,Doritos,25 to 34 years,32.9781,33.2632,33.7588
3267,Doritos,35 to 44 years,33.5921,33.4956,32.9123
3275,Doritos,Under 5 years,33.1447,33.3509,33.5044
3269,Doritos,5 to 9 years,33.5088,33.3421,33.1491
3270,Doritos,55 to 59 years,33.5702,32.6053,33.8246
3271,Doritos,60 to 64 years,33.8772,32.7851,33.3377
3272,Doritos,65 to 74 years,32.9605,33.7456,33.2939
3273,Doritos,75 to 84 years,33.1754,33.6711,33.1535
3268,Doritos,45 to 54 years,33.0044,33.2544,33.7412
1755,Dove,10 to 14 years,33.4868,33.0263,33.4868
1756,Dove,15 to 19 years,33.3728,33.8333,32.7939
1757,Dove,20 to 24 years,33.6974,33.6623,32.6404
1758,Dove,25 to 34 years,34.0219,32.8026,33.1754
1761,Dove,5 to 9 years,32.9211,33.8114,33.2675
1760,Dove,45 to 54 years,33.0439,33.6974,33.2588
1767,Dove,Under 5 years,33.3333,33.8947,32.7719
1762,Dove,55 to 59 years,33.4342,33.3904,33.1754
1763,Dove,60 to 64 years,33.1623,33.8553,32.9825
1764,Dove,65 to 74 years,33.5088,33.4693,33.0219
1759,Dove,35 to 44 years,32.943,33.3465,33.7105
1765,Dove,75 to 84 years,33.1579,33.3991,33.443
1766,Dove,85 years and over,33.2719,33.0833,33.6447
2753,Downy,75 to 84 years,33.6667,33.0044,33.3289
2743,Downy,10 to 14 years,33.5658,34.0877,32.3465
2755,Downy,Under 5 years,33.6316,33.2939,33.0746
2744,Downy,15 to 19 years,33.3246,33.3947,33.2807
2745,Downy,20 to 24 years,32.864,33.9167,33.2193
2746,Downy,25 to 34 years,33.1623,33.1491,33.6886
2747,Downy,35 to 44 years,33.8202,33.2149,32.9649
2748,Downy,45 to 54 years,33.0219,33.7193,33.2588
2749,Downy,5 to 9 years,33.3947,33.2325,33.3728
2750,Downy,55 to 59 years,32.8333,33.0746,34.0921
2751,Downy,60 to 64 years,33.2237,33.5351,33.2412
2754,Downy,85 years and over,33.0219,32.8026,34.1754
2752,Downy,65 to 74 years,32.9781,33.0351,33.9868
2081,Dr. Pepper,15 to 19 years,33.2368,33.2895,33.4737
2091,Dr. Pepper,85 years and over,33.5088,32.7588,33.7325
2090,Dr. Pepper,75 to 84 years,32.6491,33.3596,33.9912
2089,Dr. Pepper,65 to 74 years,33.807,33.5132,32.6798
2088,Dr. Pepper,60 to 64 years,33.5921,33.1623,33.2456
2087,Dr. Pepper,55 to 59 years,33.2544,32.9825,33.7632
2086,Dr. Pepper,5 to 9 years,33.2807,33.4342,33.2851
2085,Dr. Pepper,45 to 54 years,33.1053,33.6711,33.2237
2084,Dr. Pepper,35 to 44 years,33.6184,33.2632,33.1184
2082,Dr. Pepper,20 to 24 years,33.6272,33.3114,33.0614
2080,Dr. Pepper,10 to 14 years,33.1316,33.2675,33.6009
2083,Dr. Pepper,25 to 34 years,33.6009,32.8465,33.5526
2092,Dr. Pepper,Under 5 years,33.3816,32.6711,33.9474
3469,Drakes,85 years and over,33.2895,33.2807,33.4298
3458,Drakes,10 to 14 years,33.2939,33.136,33.5702
3459,Drakes,15 to 19 years,33.5307,33.1667,33.3026
3460,Drakes,20 to 24 years,33.6404,33.4386,32.9211
3470,Drakes,Under 5 years,33.3114,33.5395,33.1491
3462,Drakes,35 to 44 years,32.9868,33.3246,33.6886
3463,Drakes,45 to 54 years,33.8202,32.9474,33.2325
3461,Drakes,25 to 34 years,33.7939,33.3596,32.8465
3465,Drakes,55 to 59 years,32.807,33.5746,33.6184
3466,Drakes,60 to 64 years,33.5614,33.2982,33.1404
3467,Drakes,65 to 74 years,33.4868,33.1184,33.3947
3464,Drakes,5 to 9 years,32.7193,33.386,33.8947
3468,Drakes,75 to 84 years,33.3772,33.4298,33.193
6070,Dreyers,Under 5 years,33.3772,33.3289,33.2939
6065,Dreyers,55 to 59 years,33.2193,33.5175,33.2632
6069,Dreyers,85 years and over,33.5526,33.1009,33.3465
6068,Dreyers,75 to 84 years,33.636,33.2544,33.1096
6067,Dreyers,65 to 74 years,33.6053,33.2018,33.193
6066,Dreyers,60 to 64 years,33.1667,33.6009,33.2325
6063,Dreyers,45 to 54 years,33.4518,33.1886,33.3596
6062,Dreyers,35 to 44 years,33.3333,33.636,33.0307
6058,Dreyers,10 to 14 years,33.7237,33.0175,33.2588
6059,Dreyers,15 to 19 years,33.3465,33.443,33.2105
6064,Dreyers,5 to 9 years,33.0088,33.6053,33.386
6061,Dreyers,25 to 34 years,33.0219,33.3947,33.5833
6060,Dreyers,20 to 24 years,33.4649,33.0132,33.5219
2276,Duncan Hines,15 to 19 years,33.4342,33.2588,33.307
2278,Duncan Hines,25 to 34 years,33.7763,33.3684,32.8553
2287,Duncan Hines,Under 5 years,33.4825,33.5395,32.9781
2286,Duncan Hines,85 years and over,33.0746,33.3596,33.5658
2285,Duncan Hines,75 to 84 years,33.3158,33.0219,33.6623
2275,Duncan Hines,10 to 14 years,33.443,33.5658,32.9912
2283,Duncan Hines,60 to 64 years,33.3377,33.3114,33.3509
2284,Duncan Hines,65 to 74 years,33.0307,33.2544,33.7149
2279,Duncan Hines,35 to 44 years,33.3728,33.5044,33.1228
2280,Duncan Hines,45 to 54 years,33.7895,33.5921,32.6184
2277,Duncan Hines,20 to 24 years,33.4693,33.443,33.0877
2281,Duncan Hines,5 to 9 years,33.557,33.5439,32.8991
2282,Duncan Hines,55 to 59 years,33.0921,32.9474,33.9605
1053,Dunkin Donuts,10 to 14 years,32.943,33.443,33.614
1054,Dunkin Donuts,15 to 19 years,33.7675,33.136,33.0965
1055,Dunkin Donuts,20 to 24 years,33.0526,33.3421,33.6053
1057,Dunkin Donuts,35 to 44 years,33.2939,33.4781,33.2281
1058,Dunkin Donuts,45 to 54 years,33.4956,33.0132,33.4912
1060,Dunkin Donuts,55 to 59 years,32.7719,33.9123,33.3158
1061,Dunkin Donuts,60 to 64 years,33.6579,33.2281,33.114
1062,Dunkin Donuts,65 to 74 years,33.4605,32.614,33.9254
1063,Dunkin Donuts,75 to 84 years,34.0614,32.636,33.3026
1064,Dunkin Donuts,85 years and over,33.1491,33.5921,33.2588
1065,Dunkin Donuts,Under 5 years,33.5351,32.5088,33.9561
1056,Dunkin Donuts,25 to 34 years,33.1623,33.4605,33.3772
1059,Dunkin Donuts,5 to 9 years,33.5395,33.1316,33.3289
44,Duracell,45 to 54 years,33.0395,33.4693,33.4912
45,Duracell,5 to 9 years,33.2237,33.4737,33.3026
40,Duracell,15 to 19 years,33.8289,33.3816,32.7895
46,Duracell,55 to 59 years,33.5789,33.1316,33.2895
47,Duracell,60 to 64 years,33.1579,33.5132,33.3289
48,Duracell,65 to 74 years,33.1623,33.3947,33.443
39,Duracell,10 to 14 years,32.7982,33.6667,33.5351
49,Duracell,75 to 84 years,33.5351,33.2632,33.2018
41,Duracell,20 to 24 years,33.1009,33.5,33.3991
42,Duracell,25 to 34 years,33.8904,33.1272,32.9825
50,Duracell,85 years and over,33.0175,33.2325,33.75
43,Duracell,35 to 44 years,33.2632,33.2368,33.5
51,Duracell,Under 5 years,33.4649,33.5263,33.0088
4954,EPIC,15 to 19 years,33.193,33.2763,33.5307
4961,EPIC,60 to 64 years,33.4737,33.25,33.2763
4963,EPIC,75 to 84 years,33.3333,33.7149,32.9518
4964,EPIC,85 years and over,33.1053,33.2588,33.636
4955,EPIC,20 to 24 years,33.3333,32.9474,33.7193
4956,EPIC,25 to 34 years,33.1798,33.1754,33.6447
4957,EPIC,35 to 44 years,33.1667,33.6711,33.1623
4958,EPIC,45 to 54 years,33.8114,33.1535,33.0351
4959,EPIC,5 to 9 years,33.5088,33.1842,33.307
4960,EPIC,55 to 59 years,32.9781,33.75,33.2719
4962,EPIC,65 to 74 years,33.1447,33.6579,33.1974
4953,EPIC,10 to 14 years,34.0132,32.7675,33.2193
4965,EPIC,Under 5 years,33.6667,32.9693,33.364
6355,Eat Smart Snacks,85 years and over,33.364,33.2018,33.4342
6353,Eat Smart Snacks,65 to 74 years,33.5526,33.3509,33.0965
6352,Eat Smart Snacks,60 to 64 years,33.4474,33.3553,33.1974
6351,Eat Smart Snacks,55 to 59 years,33.3202,33.7237,32.9561
6350,Eat Smart Snacks,5 to 9 years,33.6009,33.2588,33.1404
